frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
346,11517.1,33,496,387,,,,,,,,,,,,,,,
347,11552.8,31,493,419,,,,,,,,,,,,,,,
348,11586.9,31,492,444,,,,,,,,,,,,,,,
349,11617,29,492,460,,,,,,,,,,,,,,,
350,11652.9,29,492,463,,,,,,,,,,,,,,,
351,11684.9,30,490,454,,,,,,,,,,,,,,,
352,11718.6,33,491,433,,,,,,,,,,,,,,,
353,11753.2,34,488,402,,,,,,,,,,,,,,,
354,11784.8,33,488,367,,,,,,,,,,,,,,,
355,11817,33,487,332,,,,,,,,,,,,,,,
356,11852.6,33,488,301,,,,,,,,,,,,,,,
357,11884.7,30,489,280,,,,,,,,,,,,,,,
358,11918,30,488,268,,,,,,,,,,,,,,,
359,11956.9,29,489,268,,,,,,,,,,,,,,,
360,11985,30,489,281,,,,,,,,,,,,,,,
361,12017,32,487,302,,,,,,,,,,,,,,,
362,12056.9,32,489,332,,,,,,,,,,,,,,,
363,12084.8,32,488,365,,,,,,,,,,,,,,,
364,12117.3,32,490,398,,,,,,,,,,,,,,,
365,12153,31,491,429,,,,,,,,,,,,,,,
366,12184.9,30,492,451,,,,,,,,,,,,,,,
367,12217,29,494,462,,,,,,,,,,,,,,,
368,12253.2,29,495,461,,,,,,,,,,,,,,,
369,12284.8,31,495,448,,,,,,,,,,,,,,,
370,12316.8,33,497,422,,,,,,,,,,,,,,,
371,12352.8,34,498,390,,,,,,,,,,,,,,,
372,12384.9,34,498,354,,,,,,,,,,,,,,,
373,12427.2,34,497,319,,,,,,,,,,,,,,,
374,12452.8,33,499,291,,,,,,,,,,,,,,,
375,12484.7,31,501,272,,,,,,,,,,,,,,,
376,12517,30,500,264,,,,,,,,,,,,,,,
377,12552.9,30,500,270,,,,,,,,,,,,,,,
378,12587.8,31,499,286,,,,,,,,,,,,,,,
379,12617.3,33,499,309,,,,,,,,,,,,,,,
380,12653,33,498,341,,,,,,,,,,,,,,,
381,12685,32,500,375,,,,,,,,,,,,,,,
382,12717,32,499,408,,,,,,,,,,,,,,,
383,12752.9,31,498,437,,,,,,,,,,,,,,,
384,12784.8,29,498,456,,,,,,,,,,,,,,,
385,12818.1,29,499,463,,,,,,,,,,,,,,,
386,12853,30,497,458,,,,,,,,,,,,,,,
387,12884.9,32,497,440,,,,,,,,,,,,,,,
388,12920.8,33,492,411,,,,,,,,,,,,,,,
