frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
568,18913.5,31,506,617,,,,,,,,,,,,,,,
569,18949.6,30,507,600,,,,,,,,,,,,,,,
570,18979.2,30,508,587,,,,,,,,,,,,,,,
571,19011.4,29,510,578,,,,,,,,,,,,,,,
572,19047.4,28,512,573,,,,,,,,,,,,,,,
573,19079.3,28,513,574,,,,,,,,,,,,,,,
574,19111.4,29,514,579,,,,,,,,,,,,,,,
575,19147.9,29,515,589,,,,,,,,,,,,,,,
576,19179.6,30,517,603,,,,,,,,,,,,,,,
577,19211.5,30,518,620,,,,,,,,,,,,,,,
578,19247.1,31,518,639,,,,,,,,,,,,,,,
579,19279.5,31,520,659,,,,,,,,,,,,,,,
580,19311.5,31,521,679,,,,,,,,,,,,,,,
581,19348.1,31,523,699,,,,,,,,,,,,,,,
582,19379.5,30,524,716,,,,,,,,,,,,,,,
583,19411.5,29,524,730,,,,,,,,,,,,,,,
584,19447.3,29,525,740,,,,,,,,,,,,,,,
585,19479.5,29,525,745,,,,,,,,,,,,,,,
586,19511.7,29,525,745,,,,,,,,,,,,,,,
587,19543.4,29,525,740,,,,,,,,,,,,,,,
588,19579.5,30,525,730,,,,,,,,,,,,,,,
589,19611.6,31,523,716,,,,,,,,,,,,,,,
590,19644.5,31,525,698,,,,,,,,,,,,,,,
591,19679.4,32,522,679,,,,,,,,,,,,,,,
592,19711.2,31,522,658,,,,,,,,,,,,,,,
593,19743.9,31,521,637,,,,,,,,,,,,,,,
594,19779.9,31,519,618,,,,,,,,,,,,,,,
595,19811.8,31,518,602,,,,,,,,,,,,,,,
596,19843.4,29,517,588,,,,,,,,,,,,,,,
597,19879.5,29,516,578,,,,,,,,,,,,,,,
598,19911.3,29,515,574,,,,,,,,,,,,,,,
599,19943.7,29,514,574,,,,,,,,,,,,,,,
600,19979.5,29,512,580,,,,,,,,,,,,,,,
601,20011.5,30,510,590,,,,,,,,,,,,,,,
602,20043.8,30,508,603,,,,,,,,,,,,,,,
603,20079.4,31,506,620,,,,,,,,,,,,,,,
604,20111.3,31,505,638,,,,,,,,,,,,,,,
605,20143.8,31,504,659,,,,,,,,,,,,,,,
606,20179.9,32,504,680,,,,,,,,,,,,,,,
607,20215.9,31,504,699,,,,,,,,,,,,,,,
608,20243.5,31,504,717,,,,,,,,,,,,,,,
609,20279.2,30,503,730,,,,,,,,,,,,,,,
610,20311.4,29,504,741,,,,,,,,,,,,,,,
611,20343.8,29,505,746,,,,,,,,,,,,,,,
612,20379.3,29,506,746,,,,,,,,,,,,,,,
613,20411.3,30,507,741,,,,,,,,,,,,,,,
614,20444.6,30,509,732,,,,,,,,,,,,,,,
615,20479.7,31,512,718,,,,,,,,,,,,,,,
616,20511.4,32,512,700,,,,,,,,,,,,,,,
617,20543.5,31,513,681,,,,,,,,,,,,,,,
618,20579.5,32,515,660,,,,,,,,,,,,,,,
619,20612.1,31,518,639,,,,,,,,,,,,,,,
620,20643.8,31,519,620,,,,,,,,,,,,,,,
621,20679.4,30,520,602,,,,,,,,,,,,,,,
622,20712.1,30,524,589,,,,,,,,,,,,,,,
623,20743.8,29,524,579,,,,,,,,,,,,,,,
624,20779.5,28,526,574,,,,,,,,,,,,,,,
625,20811.6,28,527,574,,,,,,,,,,,,,,,
626,20845.2,29,527,578,,,,,,,,,,,,,,,
627,20879.7,29,527,588,,,,,,,,,,,,,,,
628,20912,30,528,602,,,,,,,,,,,,,,,
629,20943.9,30,527,618,,,,,,,,,,,,,,,
630,20980.5,31,526,636,,,,,,,,,,,,,,,
631,21011.5,31,527,657,,,,,,,,,,,,,,,
632,21044.3,32,526,676,,,,,,,,,,,,,,,
633,21079.3,31,525,696,,,,,,,,,,,,,,,
634,21111.8,31,523,714,,,,,,,,,,,,,,,
635,21143.6,30,522,728,,,,,,,,,,,,,,,
636,21179.4,29,521,739,,,,,,,,,,,,,,,
637,21212.4,29,520,745,,,,,,,,,,,,,,,
638,21246.2,29,519,746,,,,,,,,,,,,,,,
639,21279.5,30,516,742,,,,,,,,,,,,,,,
640,21311.5,30,514,733,,,,,,,,,,,,,,,
641,21343.4,30,512,720,,,,,,,,,,,,,,,
642,21379.9,32,511,702,,,,,,,,,,,,,,,
643,21411.9,32,510,683,,,,,,,,,,,,,,,
644,21443.7,32,508,662,,,,,,,,,,,,,,,
645,21479.3,32,507,641,,,,,,,,,,,,,,,
646,21511.5,31,506,622,,,,,,,,,,,,,,,
647,21543.4,30,506,604,,,,,,,,,,,,,,,
648,21579.2,30,505,590,,,,,,,,,,,,,,,
649,21611.2,29,505,580,,,,,,,,,,,,,,,
650,21643.6,29,505,575,,,,,,,,,,,,,,,
651,21680.3,29,505,574,,,,,,,,,,,,,,,
652,21711.7,29,505,579,,,,,,,,,,,,,,,
653,21743.8,30,504,588,,,,,,,,,,,,,,,
654,21779.3,30,504,601,,,,,,,,,,,,,,,
655,21813.9,31,504,617,,,,,,,,,,,,,,,
656,21843.7,31,505,635,,,,,,,,,,,,,,,
657,21879.4,31,507,656,,,,,,,,,,,,,,,
658,21911.4,31,507,675,,,,,,,,,,,,,,,
659,21943.4,31,509,695,,,,,,,,,,,,,,,
660,21979.4,31,511,713,,,,,,,,,,,,,,,
661,22011.5,30,512,727,,,,,,,,,,,,,,,
662,22043.6,29,513,738,,,,,,,,,,,,,,,
663,22079.5,29,516,744,,,,,,,,,,,,,,,
664,22111.6,29,517,745,,,,,,,,,,,,,,,
665,22143.8,29,518,741,,,,,,,,,,,,,,,
666,22180,30,520,732,,,,,,,,,,,,,,,
667,22211.6,31,524,719,,,,,,,,,,,,,,,
668,22245.2,32,524,702,,,,,,,,,,,,,,,
669,22279.4,32,523,683,,,,,,,,,,,,,,,
670,22311.5,32,526,663,,,,,,,,,,,,,,,
671,22343.5,31,526,642,,,,,,,,,,,,,,,
672,22379.2,31,527,623,,,,,,,,,,,,,,,
673,22411.7,30,527,605,,,,,,,,,,,,,,,
674,22443.6,30,528,590,,,,,,,,,,,,,,,
675,22479.4,29,528,581,,,,,,,,,,,,,,,
676,22511.5,28,528,575,,,,,,,,,,,,,,,
677,22543.4,28,528,574,,,,,,,,,,,,,,,
678,22579.6,29,526,578,,,,,,,,,,,,,,,
679,22611.7,29,525,587,,,,,,,,,,,,,,,
680,22643.7,30,524,600,,,,,,,,,,,,,,,
681,22679.4,30,522,616,,,,,,,,,,,,,,,
682,22711.7,31,518,633,,,,,,,,,,,,,,,
683,22747.7,31,518,654,,,,,,,,,,,,,,,
684,22779.5,31,517,675,,,,,,,,,,,,,,,
685,22811.5,32,515,694,,,,,,,,,,,,,,,
686,22843.7,31,514,712,,,,,,,,,,,,,,,
687,22883.2,31,512,727,,,,,,,,,,,,,,,
688,22911.5,30,510,738,,,,,,,,,,,,,,,
689,22943.7,29,509,745,,,,,,,,,,,,,,,
690,22979.1,29,507,746,,,,,,,,,,,,,,,
